t_center,regime,regime_name,offline_static_f1,offline_periodic_f1,online_adaptive_f1,config
16515,1,R1 latency regression,0.04830917874396135,0.6666666666666666,0.8,C1
16765,1,R1 latency regression,0.19827586206896552,0.84,0.9333333333333333,C1
17015,1,R1 latency regression,0.4542124542124542,0.8852459016393442,0.7964601769911505,C1
17265,1,R1 latency regression,0.24444444444444444,0.5964912280701754,0.7906976744186046,C1
17515,2,R2 scale-out,0.6829268292682927,0.6622516556291391,0.8493150684931506,C1
17765,2,R2 scale-out,0.4605263157894737,0.8831168831168831,0.88,C1
18015,2,R2 scale-out,0.5207100591715976,0.7532467532467533,0.7586206896551724,C1
18265,2,R2 scale-out,0.7255813953488373,0.8029197080291971,0.8322147651006712,C1
18515,2,R2 scale-out,0.6310679611650486,0.8,0.8,C1
18765,2,R2 scale-out,0.1651376146788991,0.8888888888888888,0.6,C1
19015,2,R2 scale-out,0.3484848484848485,0.7692307692307693,0.8,C1
19265,2,R2 scale-out,0.5542168674698795,0.8333333333333334,0.8604651162790697,C1
19515,2,R2 scale-out,0.6666666666666666,0.8689655172413793,0.8783783783783784,C1
19765,2,R2 scale-out,0.5,0.8108108108108109,0.7123287671232876,C1
20015,2,R2 scale-out,0.0,0.0,0.0,C1
20265,2,R2 scale-out,0.6703910614525139,0.9243697478991597,0.8596491228070176,C1
20515,2,R2 scale-out,0.6161137440758294,0.9411764705882353,0.8549618320610687,C1
20765,2,R2 scale-out,0.4594594594594595,0.8923076923076924,0.7352941176470589,C1
21015,2,R2 scale-out,0.0,0.0,0.0,C1
21265,2,R2 scale-out,0.4563758389261745,0.8484848484848485,0.8064516129032258,C1
21515,2,R2 scale-out,0.0,0.0,0.0,C1
21765,2,R2 scale-out,0.6192893401015228,0.9180327868852459,0.8429752066115702,C1
22015,2,R2 scale-out,0.31666666666666665,0.8888888888888888,0.8292682926829268,C1
22265,2,R2 scale-out,0.6256983240223464,0.9090909090909091,0.8521739130434782,C1
22515,2,R2 scale-out,0.16494845360824742,0.8421052631578947,0.7058823529411765,C1
22765,2,R2 scale-out,0.5068493150684932,0.8767123287671232,0.7792207792207793,C1
23015,2,R2 scale-out,0.75,0.9634146341463414,0.9341317365269461,C1
23265,2,R2 scale-out,0.30158730158730157,0.9,0.7647058823529411,C1
23515,2,R2 scale-out,0.4697986577181208,0.8732394366197183,0.85,C1
23765,2,R2 scale-out,0.6346153846153846,0.7967479674796748,0.7230769230769231,C1
24015,2,R2 scale-out,0.0,0.0,0.0,C1
24265,2,R2 scale-out,0.0,0.0,0.0,C1
24515,2,R2 scale-out,0.7032967032967034,0.864406779661017,0.8235294117647058,C1
24765,2,R2 scale-out,0.45112781954887216,0.9310344827586207,0.819672131147541,C1
25015,2,R2 scale-out,0.0,0.0,0.0,C1
25265,2,R2 scale-out,0.6696428571428571,0.9066666666666666,0.8345323741007195,C1
25515,2,R2 scale-out,0.460431654676259,0.9032258064516129,0.9090909090909091,C1
25765,2,R2 scale-out,0.3880597014925373,0.9811320754716981,0.7659574468085106,C1
26015,3,R3 combined load,0.4,0.4666666666666667,0.8076923076923077,C1
26265,3,R3 combined load,0.39087947882736157,0.864406779661017,0.8695652173913043,C1
26515,3,R3 combined load,0.38688524590163936,0.864406779661017,0.875,C1
26765,3,R3 combined load,0.2589928057553957,0.8648648648648649,0.8285714285714286,C1
27015,3,R3 combined load,0.3219178082191781,0.8043478260869565,0.7816091954022989,C1
27265,3,R3 combined load,0.33447098976109213,0.912621359223301,0.8936170212765957,C1
27515,3,R3 combined load,0.17843866171003717,0.8214285714285714,0.9130434782608695,C1
27765,3,R3 combined load,0.4380952380952381,0.8939393939393939,0.8412698412698413,C1
28015,3,R3 combined load,0.41423948220064727,0.7652173913043478,0.7833333333333333,C1
28265,3,R3 combined load,0.44025157232704404,0.9323308270676691,0.8787878787878788,C1
28515,3,R3 combined load,0.5925925925925926,0.9230769230769231,0.8601036269430051,C1
28765,3,R3 combined load,0.20817843866171004,0.9122807017543859,0.7457627118644068,C1
29015,3,R3 combined load,0.0,0.0,0.0,C1
29265,3,R3 combined load,0.2937062937062937,0.8941176470588236,0.7567567567567568,C1
29515,3,R3 combined load,0.509090909090909,0.9,0.7808219178082192,C1
29765,3,R3 combined load,0.46794871794871795,0.8740740740740741,0.8489208633093526,C1
30015,3,R3 combined load,0.432258064516129,0.8818897637795275,0.7692307692307693,C1
30265,3,R3 combined load,0.1647940074906367,0.9166666666666666,0.9130434782608695,C1
30515,3,R3 combined load,0.0,0.0,0.0,C1
30765,3,R3 combined load,0.0,0.0,0.0,C1
31015,3,R3 combined load,0.1791044776119403,0.8,0.6,C1
31265,3,R3 combined load,0.12355212355212356,0.8235294117647058,0.7857142857142857,C1
31515,3,R3 combined load,0.4230769230769231,0.9090909090909091,0.8360655737704918,C1
31765,3,R3 combined load,0.1444866920152091,0.8125,0.5714285714285714,C1
32015,3,R3 combined load,0.3696369636963696,0.86,0.7924528301886793,C1
32265,3,R3 combined load,0.29473684210526313,0.8148148148148148,0.6376811594202898,C1
32515,3,R3 combined load,0.6136363636363636,0.9253731343283582,0.8720379146919431,C1
32765,3,R3 combined load,0.4090909090909091,0.8888888888888888,0.8062015503875969,C1
33015,3,R3 combined load,0.15849056603773584,0.9523809523809523,0.9230769230769231,C1
