precision,recall,f1,auc_roc,seed,config,policy
0.8824855925833125,0.7603626943005182,0.8168850747999536,0.9482113140033971,46,C1,online_adaptive
0.2376655585457232,0.9723661485319517,0.38197006318110505,0.7564070735805816,46,C2,offline_static
0.8292787944025835,0.8316062176165803,0.8304408752829578,0.9613673672811202,46,C2,offline_periodic
0.8793565683646113,0.7789291882556131,0.82610188895249,0.9557970377791148,46,C2,online_adaptive
0.23562926035201953,1.0,0.3813915191436805,0.8477075019438977,46,C3,offline_static
0.8850642927794263,0.9658894645941278,0.9237121915969857,0.9911054311331269,46,C3,offline_periodic
0.9830396475770925,0.9635146804835925,0.9731792411687745,0.9982694970659802,46,C3,online_adaptive
0.23662835249042147,1.0,0.3826992192341058,0.8717763478041746,46,C4,offline_static
0.8870583564906709,0.9648100172711571,0.9243019648397105,0.991598357447075,46,C4,offline_periodic
0.9854497354497355,0.9650259067357513,0.975130890052356,0.9980275240001585,46,C4,online_adaptive
